User_ID,Age,Gender,City,Current_Service_Provider,Monthly_Bill_Amount,Network_Quality_Rating,Customer_Service_Rating,Internet_Speed_Rating,Loyalty_Duration_Years,Is_Satisfied,Will_Change_Service
1,58,Female,Delhi,Jio,845,5,3,2,5,0,1
2,25,Male,Bangalore,Vodafone Idea,162,4,1,2,10,1,1
3,19,Female,Delhi,Jio,859,4,1,5,10,1,1
4,65,Male,Hyderabad,BSNL,1744,3,1,3,5,1,1
5,35,Male,Bangalore,Vodafone Idea,1311,4,1,4,1,0,1
6,33,Male,Kolkata,Jio,978,2,3,5,9,0,1
7,32,Male,Delhi,Jio,469,1,3,5,0,0,1
8,26,Male,Chennai,Vodafone Idea,843,1,4,1,2,1,1
9,65,Female,Hyderabad,Airtel,1028,1,1,5,0,1,1
10,24,Female,Delhi,Jio,1828,5,4,4,4,1,1
11,61,Male,Chennai,BSNL,258,5,3,4,1,1,0
12,65,Male,Chennai,Airtel,1266,5,5,2,10,1,1
13,52,Female,Chennai,BSNL,1030,3,1,2,1,1,1
14,23,Female,Mumbai,Airtel,1936,2,5,2,5,0,1
15,55,Male,Mumbai,BSNL,872,2,1,1,4,0,1
16,45,Male,Chennai,Jio,147,4,2,1,8,1,1
17,20,Male,Delhi,BSNL,1519,1,5,3,8,0,1
18,19,Female,Delhi,Airtel,1317,1,5,3,0,1,1
19,23,Female,Kolkata,BSNL,584,2,5,5,5,0,1
20,31,Female,Mumbai,BSNL,359,4,1,1,1,1,1
21,32,Female,Kolkata,BSNL,145,1,3,4,0,1,1
22,50,Female,Delhi,Jio,278,1,3,4,9,1,1
23,56,Male,Delhi,Jio,371,5,1,2,3,1,1
24,19,Female,Mumbai,BSNL,983,1,1,4,3,1,1
25,53,Female,Bangalore,Airtel,1904,3,3,3,4,0,1
26,30,Female,Hyderabad,Airtel,1536,1,1,3,6,0,1
27,63,Male,Chennai,Jio,1664,5,3,4,5,1,1
28,59,Male,Bangalore,Airtel,834,5,2,1,3,0,1
29,62,Female,Kolkata,Jio,1030,3,1,5,3,1,1
30,52,Male,Delhi,Jio,1839,3,3,2,6,0,1
31,44,Male,Bangalore,Airtel,1392,3,4,2,3,1,1
32,32,Male,Chennai,BSNL,1169,5,4,1,3,1,1
33,46,Male,Hyderabad,Vodafone Idea,1282,2,5,5,0,0,1
34,55,Male,Bangalore,Vodafone Idea,1244,5,3,5,5,0,1
35,35,Male,Chennai,BSNL,1801,3,1,2,7,1,1
36,18,Male,Bangalore,Jio,1887,2,2,2,5,1,1
37,28,Male,Chennai,Jio,482,1,3,1,4,1,1
38,62,Female,Bangalore,Airtel,878,2,2,4,3,1,1
39,45,Male,Delhi,Vodafone Idea,130,3,5,2,7,0,1
40,39,Female,Delhi,BSNL,719,1,1,1,0,0,1
41,35,Female,Mumbai,Vodafone Idea,261,1,3,5,0,0,1
42,27,Male,Chennai,Airtel,1233,3,5,4,9,0,1
43,31,Male,Kolkata,BSNL,1850,2,2,3,8,0,1
44,39,Male,Mumbai,Airtel,111,3,4,1,4,1,1
45,24,Male,Chennai,Airtel,1658,2,3,4,1,0,1
46,23,Male,Hyderabad,BSNL,1937,3,4,4,6,1,1
47,42,Male,Hyderabad,BSNL,1270,4,3,1,4,0,1
48,24,Female,Bangalore,BSNL,854,4,3,2,3,1,1
49,40,Female,Bangalore,Airtel,385,1,5,1,7,1,1
50,40,Female,Bangalore,Vodafone Idea,249,4,1,2,7,0,1
51,56,Male,Kolkata,Vodafone Idea,1705,3,2,2,0,1,1
